id,course_code,campus,year,name,description,credits,is_honours,restrictions,equivalent_string,co-req_string,pre-req_string,courses_in_equivalent_string,courses_in_co-req_string,courses_in_pre-req_string,winter_term_1,winter_term_2,summer_term_1,summer_term_2,duration_terms//,source
c-273,COSC 303,UBCO,2023,COSC 303 Numerical Analysis,"Numerical techniques for basic mathematical processes and their analysis. Taylor polynomials, root-finding, linear systems, eigenvalues, approximating derivatives, locating minimizers, approximating integrals, solving differential equations. Credit will be granted for only one of COSC 303 or MATH 303.",3,FALSE,,MATH 303,,"All of MATH 200, MATH 221 and either (a) COSC 111 or (b) DATA 301.",MATH 303,,"MATH 200,MATH 221,COSC 111,DATA 301",FALSE,TRUE,FALSE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-274,COSC 304,UBCO,2024,COSC 304 Introduction to Databases,"Databases from a user's perspective: querying with SQL, designing with UML, and using programs to analyze data. Construction of database-driven applications and websites and experience with current database technologies. Completion of COSC 121 is recommended.",3,FALSE,This course is restricted to students in year: >=3,,,"One of COSC 111, COSC 123, COSC 210. (Third-year standing.)",,,"COSC 111,COSC 123,COSC 210",TRUE,FALSE,TRUE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-275,COSC 305,UBCO,2023,COSC 305 Project Management,"Examine tools and techniques to complete projects successfully, and within budget. Topics include Program Evaluation and Review Technique (PERT) and Critical Path Methods (CPM), and project management software.",3,FALSE,,,COSC 310.,,,COSC 310,,FALSE,TRUE,FALSE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-276,COSC 310,UBCO,2023,COSC 310 Software Engineering,"Techniques to construct large systems using fundamental activities of specification, design, implementation, testing, and maintenance. Various life cycle models, exposure to software development tools, modelling techniques, good development practices, and project management.",3,FALSE,This course is restricted to students in year: >=3,,,"One of COSC 210, COSC 222, COSC 223. (and third-year standing.)",,,"COSC 210,COSC 222,COSC 223",FALSE,TRUE,FALSE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-277,COSC 320,UBCO,2023,COSC 320 Analysis of Algorithms,"Design and analysis of algorithms, illustrated from various problem areas. Models of computation, choice of data structures, space and time efficiency, computation complexity, algorithms for searching, sorting and graph-theoretic problems, NP-complete problems.",3,FALSE,,,,"All of COSC 221, COSC 222 and one of MATH 221, APSC 179.",,,"COSC 221,COSC 222,MATH 221,APSC 179",FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-278,COSC 322,UBCO,2023,COSC 322 Introduction to Artificial Intelligence,AI and intelligent agents; state space search; game playing agents; logic and knowledge-based agents; constraint programming; planning; reasoning and decision making under uncertainty; machine learning; natural language understanding. Credit will be granted for only one of COSC 322 or COSC 522.,3,FALSE,,,,"All of COSC 221, COSC 222.",,,"COSC 221,COSC 222",FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-279,COSC 328,UBCO,2024,COSC 328 Introduction to Networks,"The five-layer Internet architecture using TCP/IP: application, transport, network, link, and physical. Topics include web protocols, network programming, routing, addressing, congestion control, error handling, Ethernet, wireless networks, security, multimedia transmission, and network management.",3,FALSE,,,,"All of COSC 211, COSC 222.",,,"COSC 211,COSC 222",FALSE,TRUE,FALSE,TRUE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-280,COSC 329,UBCO,2023,COSC 329 Learning Analytics,"Introduction to data analytics and machine learning techniques in the context of educational data. Focuses on user profiling, collaborative filtering, clustering, Bayesian user modeling, preference elicitation, and plagiarism detection. Credit will be granted for only one of COSC 329, COSC 419C, or COSC 519C.",3,FALSE,,,,"COSC 222 and one of STAT 121, STAT 230.",,,"COSC 222,STAT 121,STAT 230",TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-281,COSC 335,UBCO,2023,COSC 335 Introduction to Medical Imaging and Imaging Informatics,"Fundamental image analysis techniques. Image creation, manipulation, optimization, and analysis to aid in the diagnosis and treatment of human health conditions. Generation and display of X-ray, CT, MRI, Ultrasound and Nuclear Medicine images. Imaging Informatics and its place in the Electronic Medical Record. Credit will be granted for only one of COSC 335 or PHYS 336.",3,FALSE,,,,"A score more than 60% in COSC 222 and a score more than 60% in one of PHYS 121, PHYS 122. (PHYS 121 preferred.)",,,"COSC 222,PHYS 121,PHYS 122,PHYS 121",FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-282,COSC 341,UBCO,2024,COSC 341 Human Computer Interaction,"History of human-computer interaction. Basic design principles, user-centered design, user task analysis, interaction models, input and output devices, graphical interface design, prototyping, and evaluation.",3,FALSE,This course is restricted to students in year: >=3,,,"One of COSC 111, COSC 121, COSC 123, DATA 301. (and Third-year standing.)",,,"COSC 111,COSC 121,COSC 123,DATA 301",TRUE,TRUE,FALSE,TRUE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-283,COSC 344,UBCO,2023,COSC 344 Image Processing and Applications,"Fundamental theoretical and practical concepts for processing and analyzing real-world digital images and videos, image enhancement and filtering, frequency domain and other transform analysis, morphological image operations, image segmentation, and object recognition. Credit will be granted for only one of COSC 344, COSC 435, or COSC 445.",3,FALSE,,,,"One of COSC 210, COSC 222 and one of MATH 200, APSC 248 and one of MATH 221, APSC 179.",,,"COSC 210,COSC 222,MATH 200,APSC 248,MATH 221,APSC 179",TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-284,COSC 360,UBCO,2023,COSC 360 Web Programming,"Design and implementation of web-based information systems and app development. Rich user interfaces, asynchronous updates, client-side and server-side scripting using standard technologies such as HTML, CSS, SVG, JavaScript, PHP. Data manipulation with SQL, JSON, XML. Modern scripting frameworks and libraries.",3,FALSE,This course is restricted to students in year: >=3,,,"All of COSC 121, COSC 304. (and third-year standing.)",,,"COSC 121,COSC 304",FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-285,COSC 407,UBCO,2023,COSC 407 Introduction to Parallel Computing,"Design and implementation of parallel programs including theoretical computer models, parallel architectures (distributed, multicore, GPU), and standard parallel libraries. Credit will be granted for only one of COSC 407 or COSC 507.",3,FALSE,This course is restricted to students in year: >=3,,,Either (a) COSC 111 or (b) APSC 177. (Third-year standing is required.),,,"COSC 111,APSC 177",TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-286,COSC 414,UBCO,2023,COSC 414 Computer Graphics,"Human vision and colour, modelling, geometric transformations, algorithms for 2-D and 3-D graphics, hardware and system architectures, shading and lighting, animation.",3,FALSE,,,,"All of COSC 221, COSC 222 and one of MATH 221, APSC 179.",,,"COSC 221,COSC 222,MATH 221,APSC 179",FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-287,COSC 421,UBCO,2023,COSC 421 Network Science,"Graphs and complex networks in scientific research. Probabilistic and statistical models. Structures, patterns, and behaviors in networks. Algorithmic and statistical methods (online/mobile), social networks, and social media platforms. Social influence, information diffusion, and viral marketing. Sentiment analysis and opinion mining. Data privacy. Search engines and recommendation systems. Credit will be granted for only one of COSC 421, COSC 521, DATA 421 or DATA 521.",3,FALSE,This course is restricted to students in year: >=3,,,STAT 230.,,,STAT 230,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-288,COSC 441,UBCO,2024,COSC 441 Advanced Human Computer Interaction,"Computer interaction design principles, advanced methodologies and theories; novel interfaces and platforms, conceptualization from ideation to implementation, advanced techniques for evaluation including controlled quantitative evaluation, field evaluation, quantitative analysis; introduction to HCI research. Credit will be granted for only one of COSC 441 or COSC 541.",3,FALSE,This course is restricted to students in year: >=4,,,COSC 341. (and Fourth-year standing.),,,COSC 341,FALSE,FALSE,TRUE,TRUE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-289,COSC 444,UBCO,2023,COSC 444 Computer Vision,"Advanced vision methods that enable machines to analyze and understand images. Fundamental problems in computer vision and the state-of-the-art approaches that address them. Feature detection and matching, geometric and multi-view vision, structure from X, segmentation, object tracking and visual recognition, and deep learning methods. Credit will be granted for only one of COSC 444, COSC 544 or COSC 545.",3,FALSE,,,,COSC 344.,,,COSC 344,FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-290,COSC 447,UBCO,2023,COSC 447 Directed Studies in Software Maintenance,"Maintenance of a large software system including prioritizing requests, modifying the design, implementing new features, fixing bugs, and regression testing. The student will undertake the maintenance of an existing project.",3,FALSE,This course is restricted to students in year: >=3,,,(Third-year standing and permission of the department head.),,,,TRUE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-291,COSC 448A,UBCO,2023,COSC 448A Directed Studies in Computer Science - DIR STDY COMP SC,"Supervised reading, participation in a seminar, and one or more programming projects. With different topics, this course may be taken twice for credit.",3,FALSE,,,,(Third-year standing and permission of the department head.),,,,TRUE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-292,COSC 448B,UBCO,2023,COSC 448B Directed Studies in Computer Science - DIR STDY COMP SC,"Supervised reading, participation in a seminar, and one or more programming projects. With different topics, this course may be taken twice for credit.",6,FALSE,,,,(Third-year standing and permission of the department head.),,,,TRUE,TRUE,FALSE,FALSE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-293,COSC 448C,UBCO,2023,COSC 448C Directed Studies in Computer Science - DIR STDY COMP SC,"Supervised reading, participation in a seminar, and one or more programming projects. With different topics, this course may be taken twice for credit.",3,FALSE,,,,(Third-year standing and permission of the department head.),,,,TRUE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-294,COSC 449,UBCO,2023,COSC 449 Honours Thesis,"Students will undertake a research project as agreed upon by the student, supervising faculty member, and department head. A written thesis and a public presentation (poster or seminar) are required.",6,TRUE,This course is restricted to students in year: >=4 with one of these specializations: HON COSC,,,(Fourth-year standing; admission to the B.A. or B.Sc. Computer Science Honours Program; and permission of the department head.),,,,TRUE,TRUE,FALSE,FALSE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-295,COSC 499,UBCO,2024,COSC 499 Capstone Software Engineering Project,A capstone project requiring team software development for an actual client. Students must produce a comprehensive report and deliver a formal presentation.,6,FALSE,,,,"All of COSC 304, COSC 310, COSC 341.",,,"COSC 304,COSC 310,COSC 341",TRUE,TRUE,TRUE,TRUE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-296,COSC 507,UBCO,2023,COSC 507 Parallel Computing,"Design, implementation and performance analysis of parallel programs. Theoretical computer models, parallel architectures, and standard parallel libraries. Credit will be granted for only one of COSC 407 or COSC 507.",3,FALSE,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-297,COSC 519A,UBCO,2023,COSC 519A Topics in Computer Science - ADV INT DESIGN,Specialized topics in computer science. Credit will be granted for only one of COSC 419 or COSC 519 when the subject matter is of the same nature.,3,FALSE,,,,,,,,FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-298,COSC 519I,UBCO,2023,COSC 519I Topics in Computer Science - COMP GRAPHICS,Specialized topics in computer science. Credit will be granted for only one of COSC 419 or COSC 519 when the subject matter is of the same nature.,3,FALSE,,,,,,,,FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-299,COSC 519J,UBCO,2023,COSC 519J Topics in Computer Science - IMMERSIVE TECH,Specialized topics in computer science. Credit will be granted for only one of COSC 419 or COSC 519 when the subject matter is of the same nature.,3,FALSE,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-300,COSC 520,UBCO,2023,COSC 520 Advanced Algorithms,"Algorithm design, analysis and application. Algorithmic graph theory, parameterization, approximation, and randomization techniques. Algorithms for computational-hard problems and problems involving large-scale networks and/or massive datasets. Credit will be granted for only one of COSC 320 or COSC 520.",3,FALSE,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-301,COSC 521,UBCO,2023,COSC 521 Network Science,"Graphs and complex networks in scientific research. Probabilistic and statistical models. Structures, patterns, and behaviors in networks. Algorithmic and statistical methods. (online/mobile) social networks and social media platforms. Social influence, information diffusion, and viral marketing. Sentiment analysis and opinion mining. Data privacy. Search engines and recommendation systems. Credit will be granted for only one of COSC 421, COSC 521, DATA 421 or DATA 521.",3,FALSE,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-302,COSC 541,UBCO,2024,COSC 541 Advanced Human Computer Interaction,"Computer interaction design principles, advanced methodologies and theories; novel interfaces and platforms, conceptualization from ideation to implementation, advanced techniques for evaluation including controlled quantitative evaluation, field evaluation, quantitative analysis; HCI research, literature review, critique, reproducibility. Credit will be granted for only one of COSC 441 or COSC 541.",3,FALSE,,,,,,,,FALSE,FALSE,TRUE,TRUE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-303,COSC 544,UBCO,2023,COSC 544 Computer Vision,"Computer vision methods and problem-solving techniques. Feature detection and matching, geometric and multi-view vision, structure from X, segmentation, object tracking and visual recognition, and deep learning methods. Credit will be granted for only one of COSC 444, COSC 544 or COSC 545.",3,FALSE,,,,,,,,FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-304,COSC 548,UBCO,2024,COSC 548 Directed Studies,,3,FALSE,This course is restricted to students in year: >=3,,,,,,,TRUE,TRUE,TRUE,TRUE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-305,COSC 549,UBCO,2024,COSC 549 Master's Thesis,Pass/Fail.,12,FALSE,,,,,,,,TRUE,TRUE,TRUE,TRUE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-306,COSC 550,UBCO,2023,COSC 550 Master's Project,Pass/Fail.,6,FALSE,,,,,,,,TRUE,TRUE,FALSE,FALSE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-307,COSC 590A,UBCO,2023,COSC 590A Graduate Seminar - GRAD SEMINAR,Presentation and discussion of recent results in the Computer Science literature. Pass/Fail.,1,FALSE,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-308,COSC 590B,UBCO,2023,COSC 590B Graduate Seminar - GRAD SEMINAR,Presentation and discussion of recent results in the Computer Science literature. Pass/Fail.,1,FALSE,,,,,,,,FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-309,COSC 590D,UBCO,2024,COSC 590D Graduate Seminar - GRAD SEMINAR,Presentation and discussion of recent results in the Computer Science literature. Pass/Fail.,1,FALSE,,,,,,,,FALSE,FALSE,TRUE,TRUE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-310,COSC 649,UBCO,2024,COSC 649 Doctoral Dissertation,Pass/Fail.,0,FALSE,,,,,,,,TRUE,TRUE,TRUE,TRUE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-311,COSC 690,UBCO,2023,COSC 690 Research Skills,Completion of a small research project that generates original results. Written and oral presentation required. Pass/Fail.,3,FALSE,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-365,DATA 101,UBCO,2023,DATA 101 Making Predictions with Data,"Introduction to the techniques and software for handling real-world data. Topics include data cleaning, visualization, simulation, basic modelling, and prediction making.",3,FALSE,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-366,DATA 301,UBCO,2024,DATA 301 Introduction to Data Analytics,"Techniques for computation, analysis, and visualization of data using software. Manipulation of small and large data sets. Databases. Automation using scripting. Real-world applications from life sciences, physical sciences, economics, engineering, or psychology. No prior computing background is required. Cannot be used for credits toward a major in Computer Science, Data Science, Mathematics, or Statistics. Credit will be granted for only one of COSC 301, DATA 301 or DATA 501.",3,FALSE,,,,(Third-year standing.),,,,FALSE,TRUE,TRUE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-367,DATA 310,UBCO,2023,DATA 310 Applied Regression Analysis,"Theory and application of simple and multiple linear regression models, estimation, inference (confidence intervals, prediction intervals and hypothesis testing), polynomial regression, ANOVA and ANCOVA, variable selection, model adequacy and residual diagnostics.",3,FALSE,,,,"One of STAT 205, STAT 230, MATH 221.",,,"STAT 205,STAT 230,MATH 221",TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-368,DATA 311,UBCO,2023,DATA 311 Machine Learning,"Regression, classification, resampling, model selection and validation, fundamental properties of matrices, dimension reduction, tree-based methods, unsupervised learning.",3,FALSE,,,,"Either (a) one of STAT 205, STAT 230 or (b) a score more than 75% in one of APSC 254, BIOL 202, PSYO 373; and one of COSC 111, APSC 177.",,,"STAT 205,STAT 230,APSC 254,BIOL 202,PSYO 373,COSC 111,APSC 177",TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-369,DATA 315,UBCO,2023,DATA 315 Applied Time Series and Forecasting,"Trends, stationary and nonstationary time series models, forecasting, seasonal models.",3,FALSE,,,,"One of STAT 205, STAT 230.",,,"STAT 205,STAT 230",FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-370,DATA 405,UBCO,2023,DATA 405 Stochastic Modelling and Simulation,"Pseudorandom number generation and testing. Simulation and modelling of univariate and multivariate data; stochastic models, including Poisson processes and Markov chains; MCMC simulation, hidden Markov models, and queuing systems. Credit will be granted for only one of COSC 405, DATA 405, COSC 505, or DATA 505.",3,FALSE,,,,"One of STAT 205, STAT 230 [with 60% or above].",,,"STAT 205,STAT 230",TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-371,DATA 407,UBCO,2023,DATA 407 Sampling and Design,"Planning/practice of data collection. Pros/cons of both observational and experimental data. Survey samples: random sampling; bias and variance; unequal probability sampling; systematic, multistage, and stratified sampling; ratio and regression estimators. Experimental design: simple one-way comparisons; designs with randomization restrictions including blocking, split-plots, nested and repeated measures designs. Credit will be granted for only one of DATA 407 or STAT 507.",3,FALSE,,,,"One of STAT 205, STAT 230, PSYO 372, BIOL 202.",,,"STAT 205,STAT 230,PSYO 372,BIOL 202",FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-372,DATA 410,UBCO,2023,DATA 410 Regression and Generalized Linear Models,"Regression, linear models, generalized linear models, additive models, generalized additive models, mixed models, theory and numerical performance. Credit will be granted for only one of DATA 410 or STAT 538.",3,FALSE,,,,DATA 310.,,,DATA 310,FALSE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-373,DATA 419C,UBCO,2023,DATA 419C Topics in Data Science - STAT LEARNING,Advanced or specialized topics in data science. Consult the department for the specific topic to be offered in any given year. This course may be taken more than once for credit with different topics.,3,FALSE,,,,(Fourth-year standing.),,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-374,DATA 448A,UBCO,2023,DATA 448A Directed Studies in Data Science - DIR ST DATA SCIE,Investigation of a specific topic as agreed upon by the student and the faculty supervisor. Completion of a project and an oral presentation are required.,3,FALSE,,,,"(Third-year standing in the Data Science major or Honours, and permission of the department head.)",,,,TRUE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-375,DATA 448B,UBCO,2023,DATA 448B Directed Studies in Data Science - DIR ST DATA SCIE,Investigation of a specific topic as agreed upon by the student and the faculty supervisor. Completion of a project and an oral presentation are required.,6,FALSE,,,,"(Third-year standing in the Data Science major or Honours, and permission of the department head.)",,,,TRUE,TRUE,FALSE,FALSE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-376,DATA 448C,UBCO,2023,DATA 448C Directed Studies in Data Science - DIR ST DATA SCIE,Investigation of a specific topic as agreed upon by the student and the faculty supervisor. Completion of a project and an oral presentation are required.,3,FALSE,,,,"(Third-year standing in the Data Science major or Honours, and permission of the department head.)",,,,TRUE,TRUE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-377,DATA 449,UBCO,2023,DATA 449 Honours Thesis,"Students will undertake a research project as agreed upon by the student, supervising faculty member, and unit head. A written thesis and a public presentation (poster or seminar) are required. Restricted to students in the B.Sc. Data Science Honours Program.",6,TRUE,,,,(Fourth-year standing and permission of the department head.),,,,TRUE,TRUE,FALSE,FALSE,2,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-378,DATA 500,UBCO,2023,DATA 500 Communication and Consulting in Data Science,"Effective consulting practices, ethical considerations, methodology selection, data preparation, effective software development. Credit will be granted for only one of DATA 500 or STAT 400 when the subject matter is of the same nature.",3,FALSE,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-379,DATA 505,UBCO,2023,DATA 505 Modelling and Simulation,"Simulation methodology: data collection, model design, output analysis, optimization, validation. Credit will be granted for only one of COSC 405, DATA 405, COSC 505, or DATA 505.",3,FALSE,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-380,DATA 530,UBCO,2023,DATA 530 Computing Platforms for Data Science,Introduction to software and tools for Data Science. Setup process. Restricted to students in the MDS program.,1,FALSE,This course is restricted to students in one of these programs: MDS-O,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-381,DATA 531,UBCO,2023,DATA 531 Programming for Data Science,"Programming including decisions, loops, functions, and using data structures and libraries. Restricted to students in the MDS program.",1,FALSE,This course is restricted to students in one of these programs: MDS-O,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-382,DATA 532,UBCO,2023,DATA 532 Algorithms and Data Structure,"Data structures including lists, queues, stacks, hash tables, trees and graphs. Recursion. Searching and sorting. Asymptotic complexity. Restricted to students in the MDS program.",1,FALSE,This course is restricted to students in one of these programs: MDS-O,,,,,,,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
c-383,DATA 533,UBCO,2023,DATA 533 Collaborative Software Development,Software life cycle. Licensing. Packaging. Testing and quality control. Version control. Collaborative environments. Restricted to students in the MDS program.,1,FALSE,This course is restricted to students in one of these programs: MDS-O,,,DATA 532.,,,DATA 532,TRUE,FALSE,FALSE,FALSE,1,https://okanagan.calendar.ubc.ca/course-descriptions/subject/datao
